properties{
  x = 0,
  y = 1680,
  width = 1600,
  height = 1680,
  min_layer = -2,
  max_layer = 2,
  world = "dungeon_6",
  floor = -1,
  tileset = "19",
  music = "alttp/sanctuary",
}

tile{
  layer = -2,
  x = 824,
  y = 1032,
  width = 96,
  height = 96,
  pattern = "hole_parallax.2-1",
}

teletransporter{
  layer = -2,
  x = 0,
  y = -16,
  width = 1600,
  height = 16,
  transition = "scrolling",
  destination_map = "dungeons/1/1f",
  destination = "_side",
}

tile{
  layer = -1,
  x = 368,
  y = 1088,
  width = 64,
  height = 16,
  pattern = "hole",
}

tile{
  layer = -1,
  x = 368,
  y = 992,
  width = 80,
  height = 96,
  pattern = "hole",
}

tile{
  layer = -1,
  x = 160,
  y = 1104,
  width = 272,
  height = 48,
  pattern = "hole",
}

tile{
  layer = -1,
  x = 64,
  y = 992,
  width = 96,
  height = 160,
  pattern = "hole",
}

tile{
  layer = -1,
  x = 40,
  y = 1240,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.1-1",
}

tile{
  layer = -1,
  x = 40,
  y = 1392,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.3-1",
}

tile{
  layer = -1,
  x = 40,
  y = 1264,
  width = 24,
  height = 128,
  pattern = "wall_low.3-1",
}

tile{
  layer = -1,
  x = 64,
  y = 1240,
  width = 160,
  height = 24,
  pattern = "wall_low.1-1",
}

tile{
  layer = -1,
  x = 224,
  y = 1240,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.2-1",
}

tile{
  layer = -1,
  x = 224,
  y = 1264,
  width = 24,
  height = 128,
  pattern = "wall_low.4-1",
}

tile{
  layer = -1,
  x = 224,
  y = 1392,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.4-1",
}

tile{
  layer = -1,
  x = 64,
  y = 1392,
  width = 160,
  height = 24,
  pattern = "wall_low.2-1",
}

tile{
  layer = -1,
  x = 64,
  y = 1264,
  width = 160,
  height = 128,
  pattern = "889",
}

tile{
  layer = -1,
  x = 64,
  y = 1264,
  width = 160,
  height = 128,
  pattern = "sand.texture",
}

tile{
  layer = -1,
  x = 152,
  y = 1248,
  width = 32,
  height = 16,
  pattern = "water_wall.drain_gate.1",
}

tile{
  layer = -1,
  x = 40,
  y = 1152,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.3-1",
}

tile{
  layer = -1,
  x = 40,
  y = 992,
  width = 24,
  height = 160,
  pattern = "wall_low.3-1",
}

tile{
  layer = -1,
  x = 40,
  y = 968,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.1-1",
}

tile{
  layer = -1,
  x = 64,
  y = 968,
  width = 96,
  height = 24,
  pattern = "wall_low.1-1",
}

tile{
  layer = -1,
  x = 160,
  y = 968,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.2-1",
}

tile{
  layer = -1,
  x = 160,
  y = 992,
  width = 24,
  height = 96,
  pattern = "wall_low.4-1",
}

tile{
  layer = -1,
  x = 176,
  y = 1080,
  width = 176,
  height = 24,
  pattern = "wall_low.1-1",
}

tile{
  layer = -1,
  x = 344,
  y = 992,
  width = 24,
  height = 96,
  pattern = "wall_low.3-1",
}

tile{
  layer = -1,
  x = 344,
  y = 968,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.1-1",
}

tile{
  layer = -1,
  x = 368,
  y = 968,
  width = 80,
  height = 24,
  pattern = "wall_low.1-1",
}

tile{
  layer = -1,
  x = 448,
  y = 968,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.2-1",
}

tile{
  layer = -1,
  x = 448,
  y = 992,
  width = 24,
  height = 96,
  pattern = "wall_low.4-1",
}

tile{
  layer = -1,
  x = 448,
  y = 1088,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.4-1",
}

tile{
  layer = -1,
  x = 432,
  y = 1104,
  width = 24,
  height = 48,
  pattern = "wall_low.4-1",
}

tile{
  layer = -1,
  x = 432,
  y = 1152,
  width = 24,
  height = 24,
